Index,Zeit,Langenanderung,Temperatur
1,0,0,19.25549316
2,1.66675794,-0.22782707,19.14255714
3,3.3335371,-0.22508192,18.99023056
4,5.00024223,-0.22508192,19.79589462
5,6.66714716,-0.23057175,19.39260674
6,8.33359909,0.41722584,24.73519325
7,10.00024796,1.09521723,29.67774963
8,11.66744041,1.78144336,35.05675125
9,13.33386707,2.44022059,40.17470932
10,15.0005312,3.10448742,44.72900009
11,16.66697311,3.77424431,50.13692474
12,18.33428574,4.49615431,54.85713577
13,20.00075722,5.14120722,59.94184494
14,21.66682434,5.77802515,64.97382355
15,23.33430099,6.39562845,69.86300659
16,25.0010128,7.10930395,75.08834839
17,26.66761017,7.75710154,80.01390839
18,28.33359909,8.42411423,85.16928101
19,30.00101852,9.10759544,89.99977112
20,31.66751099,9.79107666,94.95603943
21,33.33387756,10.46632195,100.0822754
22,35.00002289,11.14431381,105.1049118
23,36.66716003,11.83603096,109.9407959
24,38.33329773,12.55519485,114.9444656
25,40.00066757,13.20299339,119.9130478
26,41.66673279,13.90294456,124.8172226
27,43.33386612,14.58093643,129.9734039
28,45.00063324,15.31657028,134.9719391
29,46.66698837,16.05769348,140.0076141
30,48.33336639,16.68078804,144.8371124
31,50.0007019,17.44387054,150.0002899
32,51.66728973,18.16029167,154.9135742
33,53.33427048,18.82730293,159.9611664
34,55.0007515,19.51627541,165.0766449
35,56.66739273,20.26837921,170.0493927
36,58.33431625,20.9326458,175.1206055
37,60.00066376,21.58593369,179.9875336
38,61.66693115,22.27490425,184.9425659
39,63.33337021,22.9776001,190.0027313
40,65.00019836,23.71048927,195.0643463
41,66.66721344,24.45161438,200.050766
42,68.33394623,25.1570549,204.8389435
43,70.0002594,25.87347412,209.9645233
44,71.66716003,26.55146599,214.9550018
45,73.33358002,27.30082512,219.9233856
46,75.00035858,28.00077629,224.8470001
47,76.66729736,28.78307343,230.0736389
48,78.33422852,29.43361664,235.1112366
49,79.99994659,30.21042442,240.1035919
50,81.66665649,30.93782425,245.0206604
51,83.33385468,31.72286797,250.0729675
52,85.00038147,32.491436,255.0681
53,86.66694641,33.22432709,260.0827637
54,88.33348083,33.97093964,265.0536804
55,90.00019836,34.73402405,270.0967102
56,91.66658783,35.52181244,274.9594421
57,93.33406067,36.30960083,280.0837097
58,95.00053406,37.08641052,285.0001221
59,96.66673279,37.88517761,289.8283386
60,98.33324432,38.65100479,295.0167542
61,100.0007858,39.43055725,300.0865784
62,101.66716,40.21834564,305.1256104
63,103.3336029,40.98966599,310.2045898
64,104.9999008,41.79941177,314.9978333
65,106.6672974,42.5487709,319.967865
66,108.3332977,43.32832336,325.0762024
